Stroke,12v,24v,Sensor,Force,Type,URL,Name,Image,Price,minmax
5_10_20_30_40_50_60,12v,,,200,Rod,heavy-duty-linear-actuator-ip66,Heavy Duty Rod Actuators - IP66 Rated,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-deluxe-rod-linear-actuator_1_-min_800x_ab549565-d319-4961-94ad-439f76566e8a_300x300.jpg?v=1645125850,239.99,200-200
10_20_30_40_50_60,,24v,,200,Track,heavy-duty-track-actuator,Heavy Duty Track Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-track-actuator_1_-min_800x_070f5610-365d-4d4f-8851-e4136d4959c7_300x300.jpg?v=1645125975,249.99,200-400
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30,12v,,,200,Rod,adjustable-stroke-linear-actuators,Adjustable Stroke Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Adjustablelimitswitchactuator4_1366x_6ad2228d-f90b-482d-8638-6f32a2086557_300x300.jpg?v=1645125144,154.95,35-200
2_4_6_8_10_12_14_16_18_20_22_24,12v,,Hall,220,Rod,super-duty-actuators,Super Duty Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/newsuperdutyactuator_300x300.jpg?v=1679335009,149.95,220-450
6_8_10_12_14_18_22_24,12v,24v,Hall,224,Rod,bullet-series-36-cal-linear-actuators,Bullet Series 36 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-36cal_2_-min_800x_6da40551-277f-4e4f-b4fc-a50064721b87_300x300.jpg?v=1645128113,185,224-224
1_2_3_4_5_6_8_9_10_12_14_16_18_22_24_28_30,12v,,,225,Rod,c-series-actuators,C-Series Actuators,//cdn.shopify.com/s/files/1/0615/2193/files/C_Series_Actuator.jpg?v=1740078685,129.00,45-225
6_9_12_18_24_28,12v,,,270,Rod,bullet-series-35-cal-linear-actuators,Bullet Series 35 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/bullet35actuator_300x300.jpg?v=1657928987,169.00,22-270
2_4_6_8_10_12,12v,,Hall,330,Rod,utility-linear-actuators,Utility Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/mainUtilityImage_300x300.jpg?v=1674509333,149.95,110-330
2_4_6_9_12_18_24_30,12v,,,400,Rod,premium-high-force-linear-actuators,P-Series High Force Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/high_froce_premium-min-2_300x300.jpg?v=1674512685,149.99,400-400
1_3_6_9_12_18_24_30,12v,,Optical,400,Rod,optical-sensor-actuators,Optical Feedback Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-premium-optical-feedback-linear-actuator_2_-min_800x_e2a5fc24-9922-486f-81e2-443e8f1d0848_300x300.jpg?v=1645127346,159.99,35-400
3_6_9_12_15_18_24_28_30,12v,,,400,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,139.99,200-1000
10_20_30_40_50_60,,24v,,400,Track,heavy-duty-track-actuator,Heavy Duty Track Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-track-actuator_1_-min_800x_070f5610-365d-4d4f-8851-e4136d4959c7_300x300.jpg?v=1645125975,249.99,200-400
2_4_6_8_10_12_14_16_18_20_22_24,12v,,Hall,450,Rod,super-duty-actuators,Super Duty Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/newsuperdutyactuator_300x300.jpg?v=1679335009,149.95,220-450
6_8_10_12_18_24_30_36_40,12v,24v,Hall,500,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,279.99,500-1124
6_8_10_12_18_24_30_36_40,12v,24v,Hall,674,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,279.99,500-1124
3_6_9_12_15_18_24_28_30,12v,,,1000,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,139.99,200-1000
6_8_10_12_18_24_30_36_40,12v,24v,Hall,1124,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,279.99,500-1124
10_15_20_25_30_35,12v,24v,,2200,Rod,industrial-heavy-duty-linear-actuators,Industrial Heavy Duty Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-industrial-heavy-duty-linear-actuator_1_-min_1_800x_e905f09f-362a-4aae-af51-11a071ffa8b9_300x300.jpg?v=1645125886,465.00,2200-2200
10_15_20_25_30,,24v,Hall,2200,Rod,industrial-feedback-actuators,Industrial Actuators with Feedback,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-industrial-heavy-duty-linear-actuator_1_-min_1_800x-Copy_300x300.jpg?v=1671139780,485.00,2200-2200
5_10_15_20_25_30_35_40_45_50,12v,,Pot,,Rod,potentiometer,Linear Potentiometer Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Linear-potentiometer-min_1_-min_300x300.jpg?v=1627063612,89.00,0-0
